Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,DSL,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,One Year,Two Year,PaperlessBilling,BankTransfer,CreditCard,ECheck,MonthlyCharges,FixedCharges,Churn,sample
0,0,0,0,42,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,103.8,-32.1,0,TRUE
1,0,0,0,9,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,99.3,25.05,0,TRUE
0,0,1,0,35,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,62.15,40.2,0,FALSE
1,0,1,0,29,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,33.75,30.5,0,TRUE
1,0,1,1,30,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,82.05,108.7,0,TRUE
1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,74.7,0,0,TRUE
1,0,1,1,66,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,84,170.25,0,TRUE
0,0,0,0,65,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,111.05,-111.25,0,TRUE
1,0,0,0,72,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,100.9,194.25,0,TRUE
0,0,0,0,12,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,78.95,-20.05,1,TRUE
1,0,1,1,71,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,66.85,2.35,0,TRUE
0,1,1,0,25,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,98.5,52,1,TRUE
1,0,0,0,38,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,95,-4.4,0,TRUE
0,1,1,0,66,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,45.55,20.95,0,FALSE
1,0,1,0,68,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,110,131.85,1,TRUE
1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.3,-21.3,0,TRUE
0,0,1,1,72,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,104.15,-195.75,0,TRUE
0,0,0,0,32,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,30.15,-37.15,0,TRUE
1,0,0,0,43,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,94.35,-135.75,0,TRUE
1,0,1,0,55,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,96.75,-82.35,1,TRUE
0,0,0,0,52,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,57.95,28.85,0,TRUE
0,0,0,0,43,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,91.65,13.15,0,TRUE
0,1,1,0,37,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,76.5,37.65,1,TRUE
0,0,1,1,64,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,54.6,-70.9,0,FALSE
1,0,1,1,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,89.85,-21.15,0,TRUE
0,0,0,0,36,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,31.05,8.55,0,TRUE
0,0,1,1,10,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,100.25,62.15,1,TRUE
1,0,1,1,27,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,85.2,-148.8,0,TRUE
0,0,1,1,56,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,99.8,-73.35,0,FALSE
1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,74.4,6.35,1,TRUE
0,0,1,1,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,50.7,-4.55,0,TRUE
1,0,0,0,33,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,88.95,92.3,0,TRUE
0,1,0,0,27,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,78.05,28.15,1,FALSE
1,1,0,0,71,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,56.45,-22.6,0,TRUE
0,0,0,0,13,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,85.95,98.3,0,TRUE
0,0,1,1,25,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,58.6,37.65,1,TRUE
1,0,0,0,67,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,50.55,-126.75,0,TRUE
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,35.45,0,1,FALSE
1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,44.35,-7.45,1,TRUE
0,0,0,0,23,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,75,53.5,0,TRUE
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70.45,0,1,FALSE
0,1,1,1,72,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,88.05,86.05,0,TRUE
0,0,0,0,8,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,71.15,-5.55,1,TRUE
0,0,1,0,61,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,101.05,-192.8,0,TRUE
1,0,0,0,64,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,84.3,-106.15,0,TRUE
0,0,1,1,65,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,99.05,-21.55,0,TRUE
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,45.65,0,1,TRUE
1,0,0,1,30,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,64.5,-5.05,0,TRUE
1,0,1,1,15,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,69.5,28.9,0,TRUE
0,0,1,1,8,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,68.55,15.95,0,TRUE
1,0,0,0,7,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,95,-9.5,1,FALSE
0,0,1,1,70,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,108.15,360.05,0,TRUE
1,0,1,1,62,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,86.1,-122.95,0,FALSE
0,0,1,1,14,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,80.9,20.2,0,FALSE
0,0,0,0,22,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,84.15,-29.35,0,TRUE
1,0,1,1,16,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,64.25,-4,0,TRUE
0,0,0,1,13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,56,36.55,0,FALSE
0,0,1,0,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,82.4,-55.65,1,TRUE
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,69.7,-4.2,0,TRUE
1,0,0,0,53,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,73.9,41.55,0,TRUE
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,70.9,-10.6,1,TRUE
1,0,1,0,72,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,89.05,-157.15,0,TRUE
1,1,1,0,58,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,45.3,23.8,1,FALSE
1,0,1,0,43,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,84.25,-83.5,0,FALSE
0,0,1,0,2,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,104.4,34,1,TRUE
1,0,1,0,14,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,81.95,34.45,0,TRUE
0,0,1,0,53,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,94.85,-26.85,1,TRUE
0,1,0,0,15,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,74.45,28.95,1,FALSE
0,1,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,76.45,-31.55,1,TRUE
0,0,1,1,15,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,105.35,-21,0,TRUE
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,29.95,0,1,FALSE
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45.3,0,0,TRUE
1,0,0,0,8,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,84.5,-13.35,1,TRUE
1,0,1,1,33,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,74.75,-13.45,0,TRUE
0,0,0,0,13,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,79.25,81.4,1,TRUE
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,24.8,0,1,TRUE
1,0,0,0,20,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,51.8,-12.15,0,TRUE
1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,30.4,-9.05,0,TRUE
0,0,1,0,40,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,56.6,115.1,0,TRUE
1,0,1,1,43,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,71.9,81.65,0,TRUE
1,0,1,0,6,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,91,-15,1,TRUE
0,0,1,1,72,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,109.7,230.9,0,FALSE
0,0,1,0,20,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,96.55,-29.35,0,TRUE
1,0,0,0,59,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,111.35,-49.9,0,TRUE
1,0,1,1,72,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,112.25,-40.35,0,TRUE
0,0,1,0,27,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,101.9,-70.15,0,FALSE
0,0,0,0,14,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,80.05,-8.4,0,TRUE
1,0,1,1,71,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,105.55,-88.55,0,TRUE
1,0,0,1,13,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,78.3,16.05,0,FALSE
1,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68.85,-70.45,0,FALSE
0,0,0,0,33,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,79.95,46.5,0,TRUE
1,0,1,1,72,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,55.45,186.8,0,TRUE
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,79.9,0,1,FALSE
0,0,0,0,19,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,106.6,-90.95,1,FALSE
1,0,1,0,64,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,102.45,97.3,0,FALSE
1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,46,-7.5,1,TRUE
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25.25,0,0,TRUE
1,1,1,0,23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,86.8,-20.55,0,FALSE
0,0,1,0,57,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,58.75,88.7,0,TRUE
1,0,1,1,72,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,45.25,-118.2,0,TRUE
1,0,1,0,66,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,56.6,53.6,0,TRUE
1,0,1,1,65,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,84.2,-148.5,0,TRUE
0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,80,-15.4,0,FALSE
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,70.15,-12.25,1,TRUE
1,0,1,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,50.05,-20.85,1,FALSE
1,0,0,0,24,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,50.6,74.35,0,FALSE
0,0,1,1,31,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,81.15,30.1,0,TRUE
0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,55.2,0,1,TRUE
1,0,0,0,30,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,89.9,26.15,0,FALSE
0,0,1,1,47,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,85.3,98.15,0,TRUE
1,0,0,0,54,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,108,-71.35,0,TRUE
1,0,0,0,50,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,93.5,72.5,0,TRUE
1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,84.6,0,1,FALSE
1,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,54.4,5.3,1,TRUE
0,0,0,0,10,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,29.6,3.05,0,TRUE
1,0,1,0,18,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,73.15,-10.75,0,TRUE
0,1,0,0,11,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,95,75.3,1,TRUE
0,0,0,0,72,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,86.6,115.3,0,FALSE
1,0,0,0,72,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,109.2,15.9,0,FALSE
0,0,1,1,41,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,74.7,124.95,0,TRUE
0,1,1,0,65,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,94.4,-9.85,0,TRUE
0,1,0,0,13,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,54.8,18.9,0,FALSE
1,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,75.35,-28,0,TRUE
1,0,0,0,41,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,65,-133.2,0,FALSE
1,1,0,0,15,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,74.4,-41.7,1,TRUE
1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,48.55,0,1,TRUE
1,0,0,0,42,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,99,140.45,0,FALSE
0,0,1,0,51,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,93.5,-148.95,0,FALSE
0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70.4,6.35,1,TRUE
1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,40.2,0,1,TRUE
1,0,0,1,32,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,83.7,-45.1,0,TRUE
0,0,1,1,67,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,59.55,114.05,0,FALSE
0,0,1,1,61,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,115.1,-12.95,0,TRUE
1,0,0,0,50,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,114.35,73.6,0,FALSE
0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,44.6,-8.65,1,FALSE
0,1,1,0,29,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,45,-76.35,0,TRUE
1,1,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,41.15,8.75,1,TRUE
1,1,0,0,13,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,106.9,-25.4,1,FALSE
1,1,1,0,57,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,89.85,-196.1,0,TRUE
0,0,0,0,31,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,49.85,-25.25,0,TRUE
0,0,1,0,45,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,113.3,-66.25,0,TRUE
0,0,1,1,61,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,88.1,152.65,0,FALSE
0,1,0,0,19,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,105,12.25,0,TRUE
0,1,0,0,16,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,94.45,0,1,TRUE
1,0,1,0,57,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,59.75,44.4,0,TRUE
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,24.8,0,1,TRUE
1,1,1,0,20,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,107.05,31.05,0,TRUE
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6,0,1,TRUE
1,0,1,0,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,85.4,-25.9,1,TRUE
0,0,1,0,52,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,105.05,162.25,1,TRUE
1,1,1,0,21,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,64.95,-24.15,0,FALSE
1,0,0,0,14,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,55,1.95,0,TRUE
0,0,0,0,5,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,50.55,-8,0,FALSE
0,0,0,0,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,55.15,-8,0,FALSE
0,0,0,0,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,51.2,-13.75,0,FALSE
0,0,0,0,68,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,54.45,-14.85,0,TRUE
1,0,1,1,18,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,95.15,67.25,1,TRUE
0,0,0,0,22,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,76,111.6,0,FALSE
0,0,0,0,20,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,44.35,40.15,0,TRUE
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,1,TRUE
1,1,0,0,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,74.5,10.55,1,TRUE
1,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,44.85,-13.1,1,TRUE
1,1,0,0,24,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,76.1,-113.7,1,TRUE
1,0,0,0,35,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,61.2,-120.8,0,FALSE
1,0,1,1,23,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,86.8,-55.6,0,TRUE
0,1,0,0,6,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,89.35,31.7,0,TRUE
0,0,1,1,71,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,76.05,36.9,0,TRUE
1,1,1,0,35,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,100.8,-90.5,0,TRUE
1,0,1,1,40,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,74.55,33.75,0,TRUE
0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,73.6,0,1,TRUE
1,0,0,0,23,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,64.9,17.1,0,FALSE
0,1,0,0,4,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,95.45,14.3,1,TRUE
1,0,0,0,4,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,90.4,-4.95,0,TRUE
0,0,1,1,68,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,60.3,8.6,0,TRUE
1,0,0,1,38,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,81.85,31.4,0,FALSE
1,1,1,0,32,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,74.9,-93.45,1,TRUE
1,0,1,1,29,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,75.55,-136.55,0,TRUE
1,1,1,1,38,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,101.15,-101.85,0,FALSE
