Gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,Churn,sample,FixedCharges,TenureCat.00.06,TenureCat.06.12,TenureCat.12.24,OneYearContract,TwoYearContract,BankTransfer,CreditCard,ECheck
0,1,0,0,1,1,1,0,1,0,0,1,0,1,90.25,0,TRUE,-42,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,1,1,0,0,1,1,1,99.1,1,TRUE,-60.1,0,0,1,0,0,0,1,0
0,1,1,0,1,1,0,1,0,0,1,1,0,1,69.5,0,FALSE,15.15,0,0,0,0,0,0,1,0
0,1,1,0,1,1,1,0,1,0,0,0,0,1,80.65,1,FALSE,-11.9,0,1,0,0,0,0,1,0
0,1,1,1,1,0,0,1,1,1,1,0,1,1,74.85,0,TRUE,-34.65,0,0,0,1,0,0,1,0
1,1,0,0,1,1,1,0,0,0,0,1,1,1,95.45,1,TRUE,34.45,0,0,1,0,0,0,0,1
0,0,1,1,1,1,1,1,0,0,0,1,1,1,99.65,0,TRUE,33.25,0,0,0,1,0,0,1,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,108.45,0,TRUE,-81.35,0,0,0,1,0,0,0,1
0,0,0,0,1,1,1,0,0,1,1,1,1,1,107.5,0,TRUE,113.7,0,0,0,0,1,0,1,0
0,0,1,0,1,1,1,0,0,1,0,1,1,1,100.5,0,TRUE,-16.4,0,0,0,0,0,0,0,1
1,0,0,0,1,1,1,0,1,0,0,1,0,1,89.9,0,FALSE,56.7,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,1,1,1,0,0,0,0,42.1,0,TRUE,-69.2,0,0,0,0,1,1,0,0
0,0,1,1,1,0,0,0,0,1,1,0,0,1,54.4,0,FALSE,-22.1,0,0,1,1,0,0,1,0
0,0,0,0,1,1,1,0,0,0,0,1,1,0,94.4,1,TRUE,7.65,0,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,1,1,1,1,75.3,0,FALSE,18.2,1,0,0,0,0,0,0,1
1,0,1,0,1,1,1,0,1,0,0,0,0,1,78.9,0,TRUE,-57.95,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,1,1,1,1,1,0,79.2,0,TRUE,42,0,0,0,0,1,0,0,0
1,0,0,0,1,0,1,1,0,1,0,0,0,1,79.85,0,FALSE,88.85,0,1,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,49.05,0,TRUE,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,111.6,0,TRUE,-43.4,0,0,0,0,1,1,0,0
0,0,0,1,1,0,0,1,0,0,1,0,1,1,64.5,0,TRUE,-16.1,1,0,0,0,0,1,0,0
0,1,0,0,1,1,1,1,1,1,0,1,1,0,110.5,0,FALSE,-48.5,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,55.65,0,TRUE,128.95,0,0,0,1,0,0,1,0
0,0,1,1,1,0,0,1,1,0,0,0,0,0,54.65,0,TRUE,45.05,0,1,0,0,0,0,0,0
1,1,0,0,1,0,0,1,1,0,0,1,1,1,74.75,0,TRUE,-131.2,0,0,0,0,0,0,0,1
0,0,0,1,1,0,1,0,0,0,0,1,0,1,79.35,1,TRUE,0,1,0,0,0,0,0,0,1
0,0,1,1,0,0,0,1,0,0,0,1,1,0,50.55,0,TRUE,9.3,0,1,0,0,0,0,0,1
0,0,1,0,1,0,1,0,0,1,0,0,0,1,75.15,1,TRUE,-29.15,0,1,0,0,0,1,0,0
0,0,0,0,1,0,1,0,1,1,1,1,1,1,103.8,0,TRUE,-32.1,0,0,0,0,0,1,0,0
1,0,0,0,1,1,1,0,1,0,0,1,1,1,99.3,0,TRUE,25.05,0,1,0,0,0,0,1,0
0,0,1,0,1,0,0,1,0,0,0,1,0,1,62.15,0,FALSE,40.2,0,0,0,1,0,1,0,0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,33.75,0,TRUE,30.5,0,0,0,0,0,0,0,0
1,0,1,1,1,0,1,0,1,1,0,0,0,0,82.05,0,TRUE,108.7,0,0,0,0,0,1,0,0
1,1,0,0,1,0,1,0,0,0,1,0,0,0,74.7,0,TRUE,0,1,0,0,0,0,0,0,1
1,0,1,1,1,1,0,1,0,1,1,1,1,1,84,0,TRUE,170.25,0,0,0,0,1,0,0,0
0,0,0,0,1,1,1,1,1,1,0,1,1,1,111.05,0,TRUE,-111.25,0,0,0,0,0,0,1,0
1,0,0,0,1,1,1,0,1,1,0,1,1,1,100.9,0,TRUE,194.25,0,0,0,0,1,1,0,0
0,0,0,0,1,1,1,1,0,0,0,0,0,1,78.95,1,TRUE,-20.05,0,1,0,0,0,0,0,1
1,0,1,1,1,1,0,1,1,0,1,0,0,1,66.85,0,TRUE,2.35,0,0,0,1,0,0,1,0
0,1,1,0,1,0,1,0,1,1,0,1,1,1,98.5,1,TRUE,52,0,0,0,0,0,0,0,1
1,0,0,0,1,1,1,0,0,1,1,1,0,0,95,0,TRUE,-4.4,0,0,0,1,0,1,0,0
0,1,1,0,0,0,0,0,1,1,0,1,0,0,45.55,0,FALSE,20.95,0,0,0,1,0,1,0,0
1,0,1,0,1,1,1,0,1,1,1,1,1,1,110,1,TRUE,131.85,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3,0,TRUE,-21.3,1,0,0,0,0,0,0,0
0,0,1,1,1,1,1,1,1,0,0,1,1,1,104.15,0,TRUE,-195.75,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,30.15,0,TRUE,-37.15,0,0,0,1,0,0,0,0
1,0,0,0,1,1,1,0,0,0,0,1,1,0,94.35,0,TRUE,-135.75,0,0,0,1,0,0,0,0
1,0,1,0,1,1,1,1,1,0,0,1,0,1,96.75,1,TRUE,-82.35,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,1,1,0,0,0,57.95,0,TRUE,28.85,0,0,0,1,0,0,1,0
0,0,0,0,1,0,1,0,1,1,0,1,0,1,91.65,0,TRUE,13.15,0,0,0,0,0,0,0,1
0,1,1,0,1,1,1,0,0,0,0,0,0,1,76.5,1,TRUE,37.65,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,1,0,1,1,1,1,54.6,0,FALSE,-70.9,0,0,0,0,1,0,0,1
1,0,1,1,1,0,1,1,1,0,0,1,0,0,89.85,0,TRUE,-21.15,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,31.05,0,TRUE,8.55,0,0,0,0,1,1,0,0
0,0,1,1,1,1,1,1,0,0,0,1,1,1,100.25,1,TRUE,62.15,0,1,0,0,0,0,0,1
1,0,1,1,1,1,1,0,1,0,1,0,0,1,85.2,0,TRUE,-148.8,0,0,0,0,0,0,1,0
0,0,1,1,1,1,1,0,0,1,0,1,1,1,99.8,0,FALSE,-73.35,0,0,0,1,0,0,1,0
1,0,0,0,1,1,1,0,0,0,0,0,0,1,74.4,1,TRUE,6.35,1,0,0,0,0,0,0,1
0,0,1,1,1,0,0,1,0,0,0,0,0,0,50.7,0,TRUE,-4.55,0,1,0,0,0,0,0,0
1,0,0,0,1,0,1,1,0,0,1,1,0,1,88.95,0,TRUE,92.3,0,0,0,0,1,0,0,1
0,1,0,0,1,1,1,0,0,1,0,0,0,1,78.05,1,FALSE,28.15,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,1,0,0,1,1,1,56.45,0,TRUE,-22.6,0,0,0,1,0,0,0,1
0,0,0,0,1,1,1,0,0,0,0,0,1,1,85.95,0,TRUE,98.3,0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,1,1,1,0,1,1,1,58.6,1,TRUE,37.65,0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,50.55,0,TRUE,-126.75,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,1,35.45,1,FALSE,0,1,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,44.35,1,TRUE,-7.45,1,0,0,0,0,0,0,1
0,0,0,0,1,0,1,1,0,0,0,0,0,1,75,0,TRUE,53.5,0,0,1,0,0,1,0,0
0,1,1,0,1,0,1,0,0,0,0,0,0,1,70.45,1,FALSE,0,1,0,0,0,0,0,0,0
0,1,1,1,1,1,0,1,1,1,1,1,1,1,88.05,0,TRUE,86.05,0,0,0,0,1,0,1,0
0,0,0,0,1,1,0,1,0,0,1,0,1,0,71.15,1,TRUE,-5.55,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,0,0,1,1,1,101.05,0,TRUE,-192.8,0,0,0,0,1,1,0,0
1,0,0,0,1,1,1,1,1,0,0,0,0,1,84.3,0,TRUE,-106.15,0,0,0,1,0,0,1,0
0,0,1,1,1,1,1,1,1,0,1,1,0,1,99.05,0,TRUE,-21.55,0,0,0,0,1,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,45.65,1,TRUE,0,1,0,0,0,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,1,0,0,64.5,0,TRUE,-5.05,0,0,0,1,0,0,1,0
1,0,1,1,1,0,0,0,1,1,1,0,1,1,69.5,0,TRUE,28.9,0,0,1,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,1,1,1,1,68.55,0,TRUE,15.95,0,1,0,0,0,0,0,1
1,0,0,0,1,1,1,0,0,0,0,1,1,0,95,1,FALSE,-9.5,0,1,0,0,0,0,0,0
0,0,1,1,1,1,1,1,1,1,0,1,1,1,108.15,0,TRUE,360.05,0,0,0,1,0,0,1,0
1,0,1,1,1,0,0,1,1,1,1,1,1,0,86.1,0,FALSE,-122.95,0,0,0,0,1,0,0,1
0,0,1,1,1,0,1,0,0,0,0,0,1,1,80.9,0,FALSE,20.2,0,0,1,0,0,1,0,0
0,0,0,0,1,1,1,0,0,0,0,1,0,1,84.15,0,TRUE,-29.35,0,0,1,0,0,1,0,0
1,0,1,1,1,0,0,1,0,1,0,1,0,0,64.25,0,TRUE,-4,0,0,1,0,1,0,0,0
0,0,0,1,1,0,0,1,1,0,0,0,0,1,56,0,FALSE,36.55,0,0,1,0,0,0,0,1
0,0,1,0,1,1,1,1,0,0,0,0,0,0,82.4,1,TRUE,-55.65,0,0,1,0,0,0,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,1,69.7,0,TRUE,-4.2,1,0,0,0,0,0,0,1
1,0,0,0,1,1,0,0,1,1,1,0,1,1,73.9,0,TRUE,41.55,0,0,0,0,1,1,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,1,70.9,1,TRUE,-10.6,1,0,0,0,0,1,0,0
1,0,1,0,1,1,0,1,1,1,1,1,1,1,89.05,0,TRUE,-157.15,0,0,0,0,1,1,0,0
1,1,1,0,0,0,0,0,1,1,0,0,1,1,45.3,1,FALSE,23.8,0,0,0,0,0,0,0,1
1,0,1,0,1,0,1,1,0,1,1,0,0,1,84.25,0,FALSE,-83.5,0,0,0,1,0,1,0,0
0,0,1,0,1,1,1,0,0,1,1,1,1,1,104.4,1,TRUE,34,1,0,0,0,0,0,0,1
1,0,1,0,1,0,0,0,1,1,1,1,1,0,81.95,0,TRUE,34.45,0,0,1,0,1,0,0,0
0,0,1,0,1,0,1,0,0,1,0,1,1,1,94.85,1,TRUE,-26.85,0,0,0,1,0,1,0,0
0,1,0,0,1,1,1,0,0,0,0,0,0,1,74.45,1,FALSE,28.95,0,0,1,0,0,0,0,0
0,1,0,0,1,0,1,1,0,0,0,0,0,0,76.45,1,TRUE,-31.55,0,1,0,0,0,1,0,0
0,0,1,1,1,1,1,0,1,1,0,1,1,1,105.35,0,TRUE,-21,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,29.95,1,FALSE,0,1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,45.3,0,TRUE,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,1,0,0,0,0,0,1,0,84.5,1,TRUE,-13.35,0,1,0,0,0,1,0,0
1,0,1,1,1,0,0,1,0,1,0,1,1,0,74.75,0,TRUE,-13.45,0,0,0,1,0,0,1,0
0,0,0,0,1,0,1,0,1,1,0,0,0,1,79.25,1,TRUE,81.4,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,24.8,1,TRUE,0,1,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0,0,0,0,1,51.8,0,TRUE,-12.15,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,30.4,0,TRUE,-9.05,1,0,0,0,0,0,0,1
0,0,1,0,1,1,0,0,1,0,0,0,0,0,56.6,0,TRUE,115.1,0,0,0,0,0,0,1,0
1,0,1,1,1,1,0,1,0,0,1,0,1,1,71.9,0,TRUE,81.65,0,0,0,1,0,0,1,0
1,0,1,0,1,0,1,0,1,1,0,0,1,1,91,1,TRUE,-15,1,0,0,0,0,0,0,1
0,0,1,1,1,1,1,1,1,1,0,1,1,0,109.7,0,FALSE,230.9,0,0,0,0,1,0,1,0
0,0,1,0,1,0,1,1,1,0,1,1,0,1,96.55,0,TRUE,-29.35,0,0,1,0,0,0,0,1
1,0,0,0,1,1,1,0,1,1,1,1,1,1,111.35,0,TRUE,-49.9,0,0,0,0,0,0,0,1
1,0,1,1,1,1,1,0,1,1,1,1,1,1,112.25,0,TRUE,-40.35,0,0,0,0,1,1,0,0
0,0,1,0,1,0,1,1,0,0,1,1,1,1,101.9,0,FALSE,-70.15,0,0,0,1,0,0,1,0
0,0,0,0,1,0,1,0,1,0,1,0,0,1,80.05,0,TRUE,-8.4,0,0,1,0,0,0,1,0
1,0,1,1,1,1,1,1,0,1,0,1,1,0,105.55,0,TRUE,-88.55,0,0,0,0,1,0,0,1
1,0,0,1,1,0,1,0,0,0,0,1,0,1,78.3,0,FALSE,16.05,0,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,68.85,0,FALSE,-70.45,0,0,0,0,0,0,1,0
0,0,0,0,1,0,1,0,1,0,1,0,0,1,79.95,0,TRUE,46.5,0,0,0,1,0,1,0,0
1,0,1,1,0,0,0,1,1,1,1,0,1,1,55.45,0,TRUE,186.8,0,0,0,0,1,0,1,0
1,0,0,0,1,0,1,0,0,0,0,0,1,0,79.9,1,FALSE,0,1,0,0,0,0,0,0,1
0,0,0,0,1,0,1,1,0,1,1,1,1,1,106.6,1,FALSE,-90.95,0,0,1,0,0,0,0,1
1,0,1,0,1,0,1,0,1,1,1,1,1,1,102.45,0,FALSE,97.3,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,46,1,TRUE,-7.5,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25,0,TRUE,0,1,0,0,0,0,0,0,1
1,1,1,0,1,1,1,0,0,0,0,0,1,0,86.8,0,FALSE,-20.55,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,1,1,0,1,1,1,58.75,0,TRUE,88.7,0,0,0,0,0,1,0,0
1,0,1,1,0,0,0,1,1,1,1,0,0,0,45.25,0,TRUE,-118.2,0,0,0,0,1,0,1,0
1,0,1,0,0,0,0,1,1,1,1,1,0,1,56.6,0,TRUE,53.6,0,0,0,0,1,1,0,0
1,0,1,1,1,1,0,0,1,1,1,1,1,1,84.2,0,TRUE,-148.5,0,0,0,0,1,1,0,0
0,0,0,0,1,0,1,0,0,0,0,1,0,1,80,0,FALSE,-15.4,0,1,0,0,0,1,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,1,70.15,1,TRUE,-12.25,1,0,0,0,0,0,0,1
1,0,1,0,1,0,0,0,0,0,1,0,0,0,50.05,1,FALSE,-20.85,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,1,1,50.6,0,FALSE,74.35,0,0,1,1,0,0,0,0
0,0,1,1,1,0,0,1,0,1,1,1,1,1,81.15,0,TRUE,30.1,0,0,0,1,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,1,0,0,55.2,1,TRUE,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,1,0,0,0,1,0,1,1,89.9,0,FALSE,26.15,0,0,0,0,0,0,1,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,85.3,0,TRUE,98.15,0,0,0,0,1,0,1,0
1,0,0,0,1,1,1,1,1,0,1,1,1,1,108,0,TRUE,-71.35,0,0,0,0,1,0,1,0
1,0,0,0,1,0,1,1,1,0,1,0,1,1,93.5,0,TRUE,72.5,0,0,0,0,0,0,1,0
1,0,0,0,1,0,1,1,0,0,0,0,1,1,84.6,1,FALSE,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,1,0,0,0,0,1,54.4,1,TRUE,5.3,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.6,0,TRUE,3.05,0,1,0,0,1,0,0,0
1,0,1,0,1,1,1,0,0,0,0,0,0,1,73.15,0,TRUE,-10.75,0,0,1,0,0,0,0,1
0,1,0,0,1,0,1,0,1,0,0,1,1,1,95,1,TRUE,75.3,0,1,0,0,0,0,0,1
0,0,0,0,1,1,0,0,1,1,1,1,1,0,86.6,0,FALSE,115.3,0,0,0,0,1,1,0,0
1,0,0,0,1,1,1,0,1,1,1,1,1,0,109.2,0,FALSE,15.9,0,0,0,0,1,1,0,0
0,0,1,1,1,0,0,1,0,0,1,1,1,1,74.7,0,TRUE,124.95,0,0,0,1,0,0,1,0
0,1,1,0,1,0,1,1,1,1,0,0,1,0,94.4,0,TRUE,-9.85,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,1,1,0,0,0,1,54.8,0,FALSE,18.9,0,0,1,0,0,0,0,1
1,1,0,0,1,0,1,1,0,0,0,0,0,0,75.35,0,TRUE,-28,1,0,0,0,0,0,0,1
1,0,0,0,1,1,0,0,0,1,0,0,1,0,65,0,FALSE,-133.2,0,0,0,1,0,0,0,0
1,1,0,0,1,0,1,0,1,0,0,0,0,1,74.4,1,TRUE,-41.7,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,1,0,0,0,0,0,1,48.55,1,TRUE,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,1,1,1,1,0,0,1,1,99,0,FALSE,140.45,0,0,0,1,0,0,0,1
0,0,1,0,1,0,1,1,1,1,0,1,0,1,93.5,0,FALSE,-148.95,0,0,0,1,0,0,0,1
0,0,1,1,1,0,1,0,0,0,0,0,0,0,70.4,1,TRUE,6.35,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,0,1,0,0,1,0,0,40.2,1,TRUE,0,1,0,0,0,0,0,0,1
1,0,0,1,1,1,0,0,1,1,1,1,1,0,83.7,0,TRUE,-45.1,0,0,0,1,0,0,1,0
0,0,1,1,0,0,0,0,1,1,1,1,1,1,59.55,0,FALSE,114.05,0,0,0,0,1,0,0,1
0,0,1,1,1,1,1,1,1,1,1,1,1,0,115.1,0,TRUE,-12.95,0,0,0,0,1,0,1,0
1,0,0,0,1,1,1,1,1,1,1,1,1,0,114.35,0,FALSE,73.6,0,0,0,1,0,0,1,0
0,0,1,0,1,0,0,0,0,0,0,0,0,1,44.6,1,FALSE,-8.65,1,0,0,0,0,0,1,0
0,1,1,0,0,0,0,1,0,1,0,0,1,1,45,0,TRUE,-76.35,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1,0,0,1,1,41.15,1,TRUE,8.75,1,0,0,0,0,0,0,1
1,1,0,0,1,1,1,0,1,1,0,1,1,1,106.9,1,FALSE,-25.4,0,0,1,0,0,0,0,1
1,1,1,0,1,1,1,0,1,0,0,0,1,1,89.85,0,TRUE,-196.1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,1,0,1,0,1,1,49.85,0,TRUE,-25.25,0,0,0,0,1,1,0,0
0,0,1,0,1,1,1,1,1,1,1,1,1,0,113.3,0,TRUE,-66.25,0,0,0,1,0,0,0,0
0,0,1,1,1,1,0,1,1,1,1,1,1,0,88.1,0,FALSE,152.65,0,0,0,0,1,0,0,0
0,1,0,0,1,0,1,1,1,0,1,1,1,1,105,0,TRUE,12.25,0,0,1,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,1,1,1,1,94.45,1,TRUE,0,0,0,1,0,0,0,0,1
1,0,1,0,1,0,0,1,1,0,1,0,0,1,59.75,0,TRUE,44.4,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,1,TRUE,0,1,0,0,0,0,1,0,0
1,1,1,0,1,1,1,0,1,0,1,1,1,0,107.05,0,TRUE,31.05,0,0,1,0,0,0,0,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,70.6,1,TRUE,0,1,0,0,0,0,0,0,0
1,0,1,0,1,1,1,0,1,0,1,0,0,1,85.4,1,TRUE,-25.9,1,0,0,0,0,0,0,1
0,0,1,0,1,1,1,0,1,1,0,1,1,1,105.05,1,TRUE,162.25,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,1,1,0,0,0,1,1,64.95,0,FALSE,-24.15,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,1,1,1,1,1,55,0,TRUE,1.95,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,0,50.55,0,FALSE,-8,1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1,1,0,0,0,0,0,55.15,0,FALSE,-8,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,51.2,0,FALSE,-13.75,0,1,0,0,0,0,0,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,54.45,0,TRUE,-14.85,0,0,0,0,0,0,0,0
1,0,1,1,1,0,1,0,0,1,0,1,1,0,95.15,1,TRUE,67.25,0,0,1,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,0,0,1,76,0,FALSE,111.6,0,0,1,1,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,44.35,0,TRUE,40.15,0,0,1,0,0,0,0,1
