"","Gender","SeniorCitizen","Partner","Dependents","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","MonthlyCharges","Churn","sample","FixedCharges","TenureCat.00.06","TenureCat.06.12","TenureCat.12.24","OneYearContract","TwoYearContract","BankTransfer","CreditCard","ECheck"
"53","Female","Yes","Yes","No","Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Yes",69.5,"No",FALSE,15.1500000000001,"0","0","0","0","0","0","1","0"
"54","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Yes",80.65,"Yes",FALSE,-11.9000000000001,"0","1","0","0","0","0","1","0"
"55","Female","Yes","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","Yes",74.85,"No",TRUE,-34.6499999999996,"0","0","0","1","0","0","1","0"
"56","Male","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Yes",95.45,"Yes",TRUE,34.4499999999998,"0","0","1","0","0","0","0","1"
"57","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Yes",99.65,"No",TRUE,33.2499999999991,"0","0","0","1","0","0","1","0"
"58","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Yes",108.45,"No",TRUE,-81.3499999999995,"0","0","0","1","0","0","0","1"
"60","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Yes",107.5,"No",TRUE,113.7,"0","0","0","0","1","0","1","0"
"61","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes",100.5,"No",TRUE,-16.3999999999996,"0","0","0","0","0","0","0","1"
"62","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Yes",89.9,"No",FALSE,56.6999999999998,"0","0","0","0","0","1","0","0"
"63","Male","No","Yes","No","No","No","DSL","Yes","Yes","Yes","No","No","No","No",42.1,"No",TRUE,-69.2000000000003,"0","0","0","0","1","1","0","0"
"64","Female","No","Yes","Yes","Yes","No","DSL","No","No","Yes","Yes","No","No","Yes",54.4,"No",FALSE,-22.0999999999999,"0","0","1","1","0","0","1","0"
"65","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","No",94.4,"Yes",TRUE,7.64999999999998,"0","1","0","0","0","0","0","1"
"66","Female","No","No","No","Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Yes",75.3,"No",FALSE,18.2,"1","0","0","0","0","0","0","1"
"67","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Yes",78.9,"No",TRUE,-57.9500000000003,"0","0","0","1","0","0","0","1"
"68","Female","No","No","No","Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","No",79.2,"No",TRUE,41.9999999999995,"0","0","0","0","1","0","0","0"
"70","Male","No","No","No","Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Yes",79.85,"No",FALSE,88.85,"0","1","0","0","0","0","0","0"
"71","Male","No","No","No","Yes","No","DSL","No","No","No","Yes","No","No","No",49.05,"No",TRUE,0,"1","0","0","0","0","0","0","0"
"73","Male","Yes","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Yes",111.6,"No",TRUE,-43.3999999999996,"0","0","0","0","1","1","0","0"
"75","Female","No","No","Yes","Yes","No","DSL","Yes","No","No","Yes","No","Yes","Yes",64.5,"No",TRUE,-16.1,"1","0","0","0","0","1","0","0"
"76","Female","Yes","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","No",110.5,"No",FALSE,-48.5,"0","0","0","1","0","0","0","1"
"77","Female","No","No","No","Yes","No","DSL","No","No","No","No","No","Yes","No",55.65,"No",TRUE,128.95,"0","0","0","1","0","0","1","0"
"78","Female","No","Yes","Yes","Yes","No","DSL","Yes","Yes","No","No","No","No","No",54.65,"No",TRUE,45.05,"0","1","0","0","0","0","0","0"
"79","Male","Yes","No","No","Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Yes",74.75,"No",TRUE,-131.2,"0","0","0","0","0","0","0","1"
"81","Female","No","No","Yes","Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes",79.35,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"82","Female","No","Yes","Yes","No","No","DSL","Yes","No","No","No","Yes","Yes","No",50.55,"No",TRUE,9.30000000000007,"0","1","0","0","0","0","0","1"
"83","Female","No","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","No","No","Yes",75.15,"Yes",TRUE,-29.1500000000001,"0","1","0","0","0","1","0","0"
"84","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Yes",103.8,"No",TRUE,-32.0999999999995,"0","0","0","0","0","1","0","0"
"86","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Yes",99.3,"No",TRUE,25.0500000000001,"0","1","0","0","0","0","1","0"
"87","Female","No","Yes","No","Yes","No","DSL","Yes","No","No","No","Yes","No","Yes",62.15,"No",FALSE,40.1999999999998,"0","0","0","1","0","1","0","0"
"90","Male","No","Yes","No","No","No","DSL","No","No","No","No","Yes","No","No",33.75,"No",TRUE,30.5,"0","0","0","0","0","0","0","0"
"91","Male","No","Yes","Yes","Yes","No","Fiber optic","No","Yes","Yes","No","No","No","No",82.05,"No",TRUE,108.7,"0","0","0","0","0","1","0","0"
"92","Male","Yes","No","No","Yes","No","Fiber optic","No","No","No","Yes","No","No","No",74.7,"No",TRUE,0,"1","0","0","0","0","0","0","1"
"93","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Yes",84,"No",TRUE,170.25,"0","0","0","0","1","0","0","0"
"94","Female","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Yes",111.05,"No",TRUE,-111.25,"0","0","0","0","0","0","1","0"
"95","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes",100.9,"No",TRUE,194.25,"0","0","0","0","1","1","0","0"
"96","Female","No","No","No","Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Yes",78.95,"Yes",TRUE,-20.0500000000001,"0","1","0","0","0","0","0","1"
"97","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Yes",66.85,"No",TRUE,2.35000000000036,"0","0","0","1","0","0","1","0"
"100","Female","Yes","Yes","No","Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes",98.5,"Yes",TRUE,52,"0","0","0","0","0","0","0","1"
"103","Male","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","No",95,"No",TRUE,-4.40000000000009,"0","0","0","1","0","1","0","0"
"104","Female","Yes","Yes","No","No","No","DSL","No","Yes","Yes","No","Yes","No","No",45.55,"No",FALSE,20.9500000000003,"0","0","0","1","0","1","0","0"
"105","Male","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Yes",110,"Yes",TRUE,131.85,"0","0","0","0","1","1","0","0"
"106","Male","No","No","No","No","No","DSL","No","No","No","No","No","No","No",24.3,"No",TRUE,-21.3,"1","0","0","0","0","0","0","0"
"107","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Yes",104.15,"No",TRUE,-195.75,"0","0","0","1","0","0","0","1"
"108","Female","No","No","No","No","No","DSL","Yes","No","No","No","No","No","No",30.15,"No",TRUE,-37.15,"0","0","0","1","0","0","0","0"
"109","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","No",94.35,"No",TRUE,-135.75,"0","0","0","1","0","0","0","0"
"111","Male","No","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Yes",96.75,"Yes",TRUE,-82.3500000000004,"0","0","0","0","0","0","0","1"
"112","Female","No","No","No","Yes","No","DSL","Yes","No","Yes","Yes","No","No","No",57.95,"No",TRUE,28.8499999999999,"0","0","0","1","0","0","1","0"
"113","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Yes",91.65,"No",TRUE,13.1499999999996,"0","0","0","0","0","0","0","1"
"114","Female","Yes","Yes","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes",76.5,"Yes",TRUE,37.6500000000001,"0","0","0","0","0","0","0","1"
"115","Female","No","Yes","Yes","No","No","DSL","No","Yes","No","Yes","Yes","Yes","Yes",54.6,"No",FALSE,-70.9000000000001,"0","0","0","0","1","0","0","1"
"116","Male","No","Yes","Yes","Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","No",89.85,"No",TRUE,-21.1499999999999,"1","0","0","0","0","0","0","1"
"117","Female","No","No","No","No","No","DSL","Yes","No","No","No","No","No","No",31.05,"No",TRUE,8.54999999999995,"0","0","0","0","1","1","0","0"
"118","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Yes",100.25,"Yes",TRUE,62.1500000000001,"0","1","0","0","0","0","0","1"
"120","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Yes",85.2,"No",TRUE,-148.8,"0","0","0","0","0","0","1","0"
"121","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Yes",99.8,"No",FALSE,-73.3500000000004,"0","0","0","1","0","0","1","0"
"123","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes",74.4,"Yes",TRUE,6.34999999999999,"1","0","0","0","0","0","0","1"
"124","Female","No","Yes","Yes","Yes","No","DSL","Yes","No","No","No","No","No","No",50.7,"No",TRUE,-4.55000000000001,"0","1","0","0","0","0","0","0"
"126","Male","No","No","No","Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Yes",88.95,"No",TRUE,92.3000000000002,"0","0","0","0","1","0","0","1"
"127","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Yes",78.05,"Yes",FALSE,28.1500000000001,"0","0","0","0","0","0","0","1"
"130","Male","Yes","No","No","No","No","DSL","Yes","Yes","No","No","Yes","Yes","Yes",56.45,"No",TRUE,-22.6000000000004,"0","0","0","1","0","0","0","1"
"131","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Yes",85.95,"No",TRUE,98.3,"0","0","1","0","0","0","0","1"
"132","Female","No","Yes","Yes","No","No","DSL","Yes","Yes","Yes","No","Yes","Yes","Yes",58.6,"Yes",TRUE,37.6500000000001,"0","0","0","0","0","0","1","0"
"133","Male","No","No","No","Yes","No","DSL","No","No","No","Yes","No","No","No",50.55,"No",TRUE,-126.75,"0","0","0","0","1","1","0","0"
"134","Male","No","No","No","No","No","DSL","No","No","No","No","No","Yes","Yes",35.45,"Yes",FALSE,0,"1","0","0","0","0","0","0","1"
"135","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No","No",44.35,"Yes",TRUE,-7.45,"1","0","0","0","0","0","0","1"
"137","Female","No","No","No","Yes","No","Fiber optic","Yes","No","No","No","No","No","Yes",75,"No",TRUE,53.5,"0","0","1","0","0","1","0","0"
"140","Female","Yes","Yes","No","Yes","No","Fiber optic","No","No","No","No","No","No","Yes",70.45,"Yes",FALSE,0,"1","0","0","0","0","0","0","0"
"141","Female","Yes","Yes","Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes",88.05,"No",TRUE,86.0500000000002,"0","0","0","0","1","0","1","0"
"142","Female","No","No","No","Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","No",71.15,"Yes",TRUE,-5.55000000000007,"0","1","0","0","0","0","0","1"
"143","Female","No","Yes","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Yes",101.05,"No",TRUE,-192.8,"0","0","0","0","1","1","0","0"
"144","Male","No","No","No","Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","Yes",84.3,"No",TRUE,-106.15,"0","0","0","1","0","0","1","0"
"146","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Yes",99.05,"No",TRUE,-21.5500000000002,"0","0","0","0","1","0","1","0"
"148","Male","No","No","No","Yes","No","DSL","No","No","No","No","No","No","Yes",45.65,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"149","Male","No","No","Yes","Yes","No","DSL","No","Yes","Yes","No","Yes","No","No",64.5,"No",TRUE,-5.04999999999995,"0","0","0","1","0","0","1","0"
"150","Male","No","Yes","Yes","Yes","No","DSL","No","Yes","Yes","Yes","No","Yes","Yes",69.5,"No",TRUE,28.9000000000001,"0","0","1","0","0","0","0","0"
"151","Female","No","Yes","Yes","Yes","No","DSL","No","No","No","Yes","Yes","Yes","Yes",68.55,"No",TRUE,15.95,"0","1","0","0","0","0","0","1"
"152","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","No",95,"Yes",FALSE,-9.5,"0","1","0","0","0","0","0","0"
"153","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Yes",108.15,"No",TRUE,360.05,"0","0","0","1","0","0","1","0"
"154","Male","No","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","No",86.1,"No",FALSE,-122.95,"0","0","0","0","1","0","0","1"
"156","Female","No","Yes","Yes","Yes","No","Fiber optic","No","No","No","No","No","Yes","Yes",80.9,"No",FALSE,20.1999999999998,"0","0","1","0","0","1","0","0"
"157","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Yes",84.15,"No",TRUE,-29.3500000000001,"0","0","1","0","0","1","0","0"
"159","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","Yes","No","Yes","No","No",64.25,"No",TRUE,-4,"0","0","1","0","1","0","0","0"
"161","Female","No","No","Yes","Yes","No","DSL","Yes","Yes","No","No","No","No","Yes",56,"No",FALSE,36.55,"0","0","1","0","0","0","0","1"
"162","Female","No","Yes","No","Yes","Yes","Fiber optic","Yes","No","No","No","No","No","No",82.4,"Yes",TRUE,-55.6500000000001,"0","0","1","0","0","0","0","1"
"163","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Yes",69.7,"No",TRUE,-4.20000000000002,"1","0","0","0","0","0","0","1"
"164","Male","No","No","No","Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","Yes",73.9,"No",TRUE,41.5499999999997,"0","0","0","0","1","1","0","0"
"167","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Yes",70.9,"Yes",TRUE,-10.6,"1","0","0","0","0","1","0","0"
"168","Male","No","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes",89.05,"No",TRUE,-157.15,"0","0","0","0","1","1","0","0"
"169","Male","Yes","Yes","No","No","No","DSL","No","Yes","Yes","No","No","Yes","Yes",45.3,"Yes",FALSE,23.8000000000002,"0","0","0","0","0","0","0","1"
"171","Male","No","Yes","No","Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No","Yes",84.25,"No",FALSE,-83.5,"0","0","0","1","0","1","0","0"
"172","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Yes",104.4,"Yes",TRUE,34,"1","0","0","0","0","0","0","1"
"173","Male","No","Yes","No","Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","No",81.95,"No",TRUE,34.45,"0","0","1","0","1","0","0","0"
"174","Female","No","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Yes",94.85,"Yes",TRUE,-26.8499999999995,"0","0","0","1","0","1","0","0"
"177","Female","Yes","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","No","Yes",74.45,"Yes",FALSE,28.95,"0","0","1","0","0","0","0","0"
"178","Female","Yes","No","No","Yes","No","Fiber optic","Yes","No","No","No","No","No","No",76.45,"Yes",TRUE,-31.55,"0","1","0","0","0","1","0","0"
"179","Female","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes",105.35,"No",TRUE,-21,"0","0","1","0","0","1","0","0"
"181","Female","No","No","No","No","No","DSL","No","Yes","No","No","No","No","No",29.95,"Yes",FALSE,0,"1","0","0","0","0","1","0","0"
"182","Female","No","No","No","Yes","No","DSL","No","No","No","No","No","No","No",45.3,"No",TRUE,0,"1","0","0","0","0","0","0","0"
"183","Male","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","No",84.5,"Yes",TRUE,-13.35,"0","1","0","0","0","1","0","0"
"184","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","Yes","No","Yes","Yes","No",74.75,"No",TRUE,-13.4499999999998,"0","0","0","1","0","0","1","0"
"185","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Yes",79.25,"Yes",TRUE,81.4000000000001,"0","0","1","0","0","0","0","1"
"186","Female","No","Yes","No","No","No","DSL","No","No","No","No","No","No","Yes",24.8,"Yes",TRUE,0,"1","0","0","0","0","0","0","1"
"187","Male","No","No","No","Yes","No","DSL","No","Yes","No","No","No","No","Yes",51.8,"No",TRUE,-12.15,"0","0","1","0","0","0","0","0"
"188","Male","No","No","No","No","No","DSL","No","No","No","Yes","No","No","No",30.4,"No",TRUE,-9.04999999999998,"1","0","0","0","0","0","0","1"
"190","Female","No","Yes","No","Yes","Yes","DSL","No","Yes","No","No","No","No","No",56.6,"No",TRUE,115.1,"0","0","0","0","0","0","1","0"
"191","Male","No","Yes","Yes","Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Yes",71.9,"No",TRUE,81.6499999999996,"0","0","0","1","0","0","1","0"
"192","Male","No","Yes","No","Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Yes",91,"Yes",TRUE,-15,"1","0","0","0","0","0","0","1"
"194","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","No",109.7,"No",FALSE,230.9,"0","0","0","0","1","0","1","0"
"196","Female","No","Yes","No","Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","No","Yes",96.55,"No",TRUE,-29.3499999999999,"0","0","1","0","0","0","0","1"
"198","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Yes",111.35,"No",TRUE,-49.8999999999996,"0","0","0","0","0","0","0","1"
"199","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Yes",112.25,"No",TRUE,-40.3500000000004,"0","0","0","0","1","1","0","0"
"201","Female","No","Yes","No","Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","Yes",101.9,"No",FALSE,-70.1500000000001,"0","0","0","1","0","0","1","0"
"202","Female","No","No","No","Yes","No","Fiber optic","No","Yes","No","Yes","No","No","Yes",80.05,"No",TRUE,-8.40000000000009,"0","0","1","0","0","0","1","0"
"203","Male","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","No",105.55,"No",TRUE,-88.5500000000002,"0","0","0","0","1","0","0","1"
"204","Male","No","No","Yes","Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes",78.3,"No",FALSE,16.0500000000001,"0","0","1","0","0","0","1","0"
"205","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","No",68.85,"No",FALSE,-70.4499999999998,"0","0","0","0","0","0","1","0"
"206","Female","No","No","No","Yes","No","Fiber optic","No","Yes","No","Yes","No","No","Yes",79.95,"No",TRUE,46.5,"0","0","0","1","0","1","0","0"
